"bsv"	"context"	"full_expression"	"match_with_fcu"	"context"	"location"	"features"
"20180802_bsvmaraichage_19_cle04c2cf"	"is suivies. Altise ("	"Choux, Radis, Roquette"	"Choux, Radis, Roquette"	") La pression altise"	"6454-6476"	"type=N_PUN_N, form=Choux, Radis, Roquette"
"20180802_bsvmaraichage_19_cle04c2cf"	"ivies de la région ("	"choux, radis, roquette"	"choux, radis, roquette"	", etc..). Des petits"	"6603-6625"	"type=N_PUN_N, form=choux, radis, roquette"
"20180920_bsvmaraichage_cle0649bf"	"-Levées. Ravageurs"	"Mouche du chou, Mouche des semis"	"chou"	"(Navet) Le vol de l"	"2490-2522"	"type=N_PUN_N, form=Mouche du chou, Mouche des semis"
"20180920_bsvmaraichage_cle0649bf"	"impératif. Altises ("	"Navet, Rutabaga, Choux"	"Navet, Rutabaga, Choux"	") Les populations d'"	"2884-2906"	"type=N_PUN_N, form=Navet, Rutabaga, Choux"
"20180920_bsvmaraichage_cle0649bf"	"ques dans plusieurs"	"parcelles de navet, choux, rutabaga"	"navet, choux, rutabaga"	"sur le 49. Les cond"	"3030-3065"	"type=N_PUN_N, form=parcelles de navet, choux, rutabaga"
"20180920_bsvmaraichage_cle0649bf"	"bles à ce ravageur."	"Teigne des crucifères et Piéride du chou"	"chou"	"(Choux) A Longué, 1"	"3159-3199"	"type=N_KON_N, form=Teigne des crucifères et Piéride du chou"
"20180920_bsvmaraichage_cle0649bf"	"Lambert-des-Levées."	"Aleurode du chou et Punaise"	"chou"	"rouge du chou (Chou"	"3443-3470"	"type=N_KON_N, form=Aleurode du chou et Punaise"
"20180920_bsvmaraichage_cle0649bf"	"asse-Goulaine (44)."	"Courgette et Potiron"	"Courgette, Potiron"	": parcelles flottan"	"5343-5363"	"type=N_KON_N, form=Courgette et Potiron"
"20180920_bsvmaraichage_cle0649bf"	"asse-Goulaine (44)."	"Courgette et Potiron"	"Courgette, Potiron"	": parcelles flottan"	"7117-7137"	"type=N_KON_N, form=Courgette et Potiron"
"20180920_bsvmaraichage_cle0649bf"	". Maladies Oïdium ("	"Concombre, Courgette, Potiron"	"Concombre, Courgette, Potiron"	") Depuis plusieurs s"	"7185-7214"	"type=N_PUN_N, form=Concombre, Courgette, Potiron"
"20180920_bsvmaraichage_cle0649bf"	"s-sur-Loire (49) en"	"parcelle de concombre et courgette"	"concombre, courgette"	"et à Beaufort-en-Va"	"7614-7648"	"type=N_KON_N, form=parcelle de concombre et courgette"
"20180920_bsvmaraichage_cle0649bf"	"Drosophila suzukii ("	"Fraisier , Framboisier"	"Fraisier, Framboisier"	") Les populations de"	"9335-9357"	"type=N_PUN_N, form=Fraisier , Framboisier"
"20181011_bsvmaraichage_27_cle09c363"	"e - Céleri - Panais"	"Mouche du céleri, septoriose"	"céleri"	"P.3 Fraisiers Framb"	"177-205"	"type=N_PUN_N, form=Mouche du céleri, septoriose"
"20181011_bsvmaraichage_27_cle09c363"	"gumières : carotte,"	"tomate, concombre"	"tomate, concombre"	",... Les populations"	"798-815"	"type=N_PUN_N, form=tomate, concombre"
"20181011_bsvmaraichage_27_cle09c363"	"e. Punaise rouge du"	"chou et altise"	"chou"	"(Chou, Navet) Les p"	"5414-5428"	"type=N_KON_N, form=chou et altise"
"20181011_bsvmaraichage_27_cle09c363"	"du chou et altise ("	"Chou, Navet"	"Chou, Navet"	") Les populations de"	"5430-5441"	"type=N_PUN_N, form=Chou, Navet"
"20181011_bsvmaraichage_27_cle09c363"	"chou et des semis."	"Mouche du chou et mouches des semis"	"chou"	"(Navet) Les piégeag"	"5733-5768"	"type=N_KON_N, form=Mouche du chou et mouches des semis"
"20181011_bsvmaraichage_27_cle09c363"	"pas de risque pour"	"les panais et céleri"	"panais, céleri"	"en production. Mouc"	"7157-7177"	"type=N_KON_N, form=les panais et céleri"
"20181011_bsvmaraichage_27_cle09c363"	"ctonia et Botrytis ("	"Laitue, Mâche"	"Laitue, Mâche"	") Sur Pont-St-Martin"	"9735-9748"	"type=N_PUN_N, form=Laitue, Mâche"
"20190502_BSV_legumes_cle079711"	"4/19 27/04/19 Cette"	"semaine, la mouche de la carotte"	"carotte"	"était peu présente"	"8327-8359"	"type=N_PUN_N, form=semaine, la mouche de la carotte"
"20190502_BSV_legumes_cle079711"	"ns, décolorations)."	"Les aubergines et poivrons"	"aubergines, poivrons"	"ont été plantées la"	"24438-24464"	"type=N_KON_N, form=Les aubergines et poivrons"
"20190502_BSV_legumes_cle079711"	"estez vigilants sur"	"les aubergines et poivrons"	"aubergines, poivrons"	"qui sont les cultur"	"25116-25142"	"type=N_KON_N, form=les aubergines et poivrons"
"20190731_BSV_legumes_cle01d6c6"	". En pénétrant dans"	"les tissus, le champignon"	"champignon"	"forme une gaine de"	"17670-17695"	"type=N_PUN_N, form=les tissus, le champignon"
"20190731_BSV_legumes_cle01d6c6"	"cultivées (carotte,"	"luzerne, betterave"	"luzerne, betterave"	") mais également sa"	"18840-18858"	"type=N_PUN_N, form=luzerne, betterave"
"20190731_BSV_legumes_cle01d6c6"	"s (oseille sauvage,"	"liseron, pissenlit"	"pissenlit"	", stellaire, chénopo"	"18903-18921"	"type=N_PUN_N, form=liseron, pissenlit"
"20190828_BSV_legumes_cle0ede1d"	". En pénétrant dans"	"les tissus, le champignon"	"champignon"	"forme une gaine de"	"16477-16502"	"type=N_PUN_N, form=les tissus, le champignon"
"20190828_BSV_legumes_cle0ede1d"	"cultivées (carotte,"	"luzerne, betterave"	"luzerne, betterave"	") mais également sa"	"17647-17665"	"type=N_PUN_N, form=luzerne, betterave"
"20190828_BSV_legumes_cle0ede1d"	"s (oseille sauvage,"	"liseron, pissenlit"	"pissenlit"	", stellaire, chénopo"	"17710-17728"	"type=N_PUN_N, form=liseron, pissenlit"
"20190828_BSV_legumes_cle0ede1d"	"arcelles de choux à"	"inflorescences et les choux"	"choux"	"légumes. 2 Altises"	"22977-23004"	"type=N_KON_N, form=inflorescences et les choux"
"20190828_BSV_legumes_cle0ede1d"	"notamment en choux"	"légumes et choux"	"légumes"	"à choucroute. Sur l"	"23115-23131"	"type=N_KON_N, form=légumes et choux"
"20190828_BSV_legumes_cle0ede1d"	"du réseau notamment"	"chou de Milan et chou"	"chou de Milan, chou"	"à inflorescence. Se"	"27497-27518"	"type=N_KON_N, form=chou de Milan et chou"
"20190828_BSV_legumes_cle0ede1d"	"isque augmente avec"	"le nombre de vols et les choux"	"choux"	"en pleine pommaison"	"28392-28422"	"type=N_KON_N, form=le nombre de vols et les choux"
"20190828_BSV_legumes_cle0ede1d"	"ne la production de"	"poivrons de concombres et d'aubergine"	"poivrons, concombres"	"est encore très cor"	"40662-40699"	"type=N_KON_N, form=poivrons de concombres et d'aubergine"
"20190828_BSV_legumes_cle0ede1d"	"c le plus souvent)."	"Les navets et radis"	"navets, radis"	"noirs récemment sem"	"41795-41814"	"type=N_KON_N, form=Les navets et radis"
"20199062_bsvmaraichage_no27_cle051121-1"	"gique P.1 Ravageurs"	"Mineuse du poireau, Mouche du chou, Mouche des semis, Mouche"	"poireau, chou"	"de la carotte P.2 N"	"118-178"	"type=N_PUN_N, form=Mineuse du poireau, Mouche du chou, Mouche des semis, Mouche"
"20199062_bsvmaraichage_no27_cle051121-1"	"Crédit photo : CDDL"	"Fraisier et Framboisiers"	"Fraisier, Framboisiers"	"Drosophila suzukii"	"4933-4957"	"type=N_KON_N, form=Fraisier et Framboisiers"
"20199062_bsvmaraichage_no27_cle051121-1"	"llez vos parcelles."	"Carotte, Panais et Céleri"	"Carotte, Panais, Céleri"	"L'oïdium se dévelop"	"7361-7386"	"type=N_PUN_N_KON_N, form=Carotte, Panais et Céleri"
"2019_BSV_Normandie_leg_22_sem35_cle43a9ca"	"sent sur les jeunes"	"plantations, les pépinières"	"pépinières"	"et tout le cycle de"	"8296-8323"	"type=N_PUN_N, form=plantations, les pépinières"
"BSV_Corse_Maraichage_3_8juillet_2019_cle4de2c4"	"ens tétranyques sur"	"tiges et feuilles de concombres"	"concombres"	"(A. Broggio) Thrips"	"9543-9574"	"type=N_KON_N, form=tiges et feuilles de concombres"
"BSV_Corse_Maraichage_3_8juillet_2019_cle4de2c4"	"plus attaqués sont"	"l'avocat, la mangue et la papaye"	"mangue, papaye"	"mais l'espèce s'en"	"21849-21881"	"type=N_PUN_N_KON_N, form=l'avocat, la mangue et la papaye"
"BSV_Corse_Maraichage_3_8juillet_2019_cle4de2c4"	"s'en prend aussi au"	"citron, goyave, banane, nèfle du Japon, tomate, cerise de Cayenne, fruit de la passion, kaki, ananas, pêche, poire, abricot, figue et café"	"citron, goyave, banane, tomate, cerise, kaki, ananas, pêche, poire, abricot, figue, café"	". Les légumes concer"	"21916-22054"	"type=N_PUN_N_KON_N, form=citron, goyave, banane, nèfle du Japon, tomate, cerise de Cayenne, fruit de la passion, kaki, ananas, pêche, poire, abricot, figue et café"
"BSV_Corse_Maraichage_3_8juillet_2019_cle4de2c4"	"rnés sont notamment"	"les tomates, poivrons, melons et courges"	"tomates, poivrons, melons, courges"	". Comme les autres m"	"22093-22133"	"type=N_PUN_N_KON_N, form=les tomates, poivrons, melons et courges"
"BSV_Corse_Maraichage_3_8juillet_2019_cle4de2c4"	"ffecter de nombreux"	"végétaux, oliviers, Prunus"	"oliviers"	"(pêchers, amandiers"	"22582-22608"	"type=N_PUN_N, form=végétaux, oliviers, Prunus"
"BSV_Corse_Maraichage_3_8juillet_2019_cle4de2c4"	", oliviers, Prunus ("	"pêchers, amandiers"	"pêchers, amandiers"	"), laurier rose, vig"	"22610-22628"	"type=N_PUN_N, form=pêchers, amandiers"
"BSV_Corse_Maraichage_3_8juillet_2019_cle4de2c4"	"ers), laurier rose,"	"vigne, agrumes, caféiers, chênes, Les dépérissements"	"vigne, agrumes, caféiers, chênes"	"provoqués par la ma"	"22645-22697"	"type=N_PUN_N, form=vigne, agrumes, caféiers, chênes, Les dépérissements"
"BSV_Corse_Maraichage_4_7aout_2019_cle83ed26"	"plus attaqués sont"	"l'avocat, la mangue et la papaye"	"mangue, papaye"	"mais l'espèce s'en"	"17924-17956"	"type=N_PUN_N_KON_N, form=l'avocat, la mangue et la papaye"
"BSV_Corse_Maraichage_4_7aout_2019_cle83ed26"	"s'en prend aussi au"	"citron, goyave, banane, nèfle du Japon, tomate, cerise de Cayenne, fruit de la passion, kaki, ananas, pêche, poire, abricot, figue et café"	"citron, goyave, banane, tomate, cerise, kaki, ananas, pêche, poire, abricot, figue, café"	". Les légumes concer"	"17991-18129"	"type=N_PUN_N_KON_N, form=citron, goyave, banane, nèfle du Japon, tomate, cerise de Cayenne, fruit de la passion, kaki, ananas, pêche, poire, abricot, figue et café"
"BSV_Corse_Maraichage_4_7aout_2019_cle83ed26"	"rnés sont notamment"	"les tomates, poivrons, melons et courges"	"tomates, poivrons, melons, courges"	". Comme les autres m"	"18168-18208"	"type=N_PUN_N_KON_N, form=les tomates, poivrons, melons et courges"
"BSV_Corse_Maraichage_4_7aout_2019_cle83ed26"	"ffecter de nombreux"	"végétaux, oliviers, Prunus"	"oliviers"	"(pêchers, amandiers"	"18755-18781"	"type=N_PUN_N, form=végétaux, oliviers, Prunus"
"BSV_Corse_Maraichage_4_7aout_2019_cle83ed26"	", oliviers, Prunus ("	"pêchers, amandiers"	"pêchers, amandiers"	"), laurier rose, vig"	"18783-18801"	"type=N_PUN_N, form=pêchers, amandiers"
"BSV_Corse_Maraichage_4_7aout_2019_cle83ed26"	"ers), laurier rose,"	"vigne, agrumes, caféiers, chênes, Les dépérissements"	"vigne, agrumes, caféiers, chênes"	"provoqués par la ma"	"18818-18870"	"type=N_PUN_N, form=vigne, agrumes, caféiers, chênes, Les dépérissements"
"BSV_Corse_Maraichage_5_3sept_2019_cle8b6a1e"	"plus attaqués sont"	"l'avocat, la mangue et la papaye"	"mangue, papaye"	"mais l'espèce s'en"	"13638-13670"	"type=N_PUN_N_KON_N, form=l'avocat, la mangue et la papaye"
"BSV_Corse_Maraichage_5_3sept_2019_cle8b6a1e"	"s'en prend aussi au"	"citron, goyave, banane, nèfle du Japon, tomate, cerise de Cayenne, fruit de la passion, kaki, ananas, pêche, poire, abricot, figue et café"	"citron, goyave, banane, tomate, cerise, kaki, ananas, pêche, poire, abricot, figue, café"	". Les légumes concer"	"13705-13843"	"type=N_PUN_N_KON_N, form=citron, goyave, banane, nèfle du Japon, tomate, cerise de Cayenne, fruit de la passion, kaki, ananas, pêche, poire, abricot, figue et café"
"BSV_Corse_Maraichage_5_3sept_2019_cle8b6a1e"	"rnés sont notamment"	"les tomates, poivrons, melons et courges"	"tomates, poivrons, melons, courges"	". Comme les autres m"	"13882-13922"	"type=N_PUN_N_KON_N, form=les tomates, poivrons, melons et courges"
"BSV_Legumes_102019_cle8be56a"	"principalement des"	"coulures de fleurs, avortement de gousses"	"gousses"	"et mauvais rempliss"	"2895-2936"	"type=N_PUN_N, form=coulures de fleurs, avortement de gousses"
"BSV_Legumes_102019_cle8be56a"	"Lesboeufs (80), sur"	"épinard de printemps, la situation"	"épinard"	"est saine. Rien à s"	"3324-3358"	"type=N_PUN_N, form=épinard de printemps, la situation"
"BSV_Legumes_102019_cle8be56a"	"ltures d'alliacées ("	"poireaux, ciboulette, ail"	"poireaux, ciboulette, ail"	") pour détecter d'é"	"6956-6981"	"type=N_PUN_N, form=poireaux, ciboulette, ail"
"BSV_Legumes_102019_cle8be56a"	"les plantes hôtes ("	"poireaux, oignons, pommes de terre, choux, betterave, luzerne"	"poireaux, oignons, pommes de terre, choux, betterave, luzerne"	").- Travail du sol"	"11980-12041"	"type=N_PUN_N, form=poireaux, oignons, pommes de terre, choux, betterave, luzerne"
"BSV_Legumes_102019_cle8be56a"	"ignons bulbilles et"	"échalotes de plantation, oignon de semis"	"échalotes, oignon"	"dit "" précoces "",-"	"13755-13795"	"type=N_PUN_N, form=échalotes de plantation, oignon de semis"
"BSV_Legumes_102019_cle8be56a"	"lantes environ. Sur"	"oignon, le risque"	"oignon"	"est très faible, il"	"16594-16611"	"type=N_PUN_N, form=oignon, le risque"
"BSV_Legumes_102019_cle8be56a"	"ansfrontaliers pour"	"le Maraîchage et la culture de fraises"	"Maraîchage, fraises"	", favorisant les Mét"	"23342-23380"	"type=N_KON_N, form=le Maraîchage et la culture de fraises"
"BSV_Legumes_102019_cle8be56a"	"de plantes hôtes :"	"colza , betteraves, pommes de terre, endives, haricots, pois"	"colza, betteraves, pommes de terre, endives, haricots, pois"	", carottes, choux, s"	"25359-25419"	"type=N_PUN_N, form=colza , betteraves, pommes de terre, endives, haricots, pois"
"BSV_Legumes_102019_cle8be56a"	"ts, pois, carottes,"	"choux, salades, navets, scorsonères, céleri, phacélie, moutarde"	"choux, salades, navets, scorsonères, céleri, phacélie, moutarde"	". Seules les graminé"	"25431-25494"	"type=N_PUN_N, form=choux, salades, navets, scorsonères, céleri, phacélie, moutarde"
"BSV_Legumes_102019_cle8be56a"	"40 plantes hôtes) :"	"haricot, concombre, épinard, tomate, radis, navet, oignon, poireau, pomme de terre"	"haricot, concombre, épinard, tomate, radis, navet, oignon, poireau, pomme de terre"	"Les femelles appréc"	"32134-32216"	"type=N_PUN_N, form=haricot, concombre, épinard, tomate, radis, navet, oignon, poireau, pomme de terre"
"BSV_Legumes_102019_cle8be56a"	"les stratégies sur"	"pois, haricot, flageolet"	"pois, haricot, flageolet"	"et carotte, n'hésit"	"35432-35456"	"type=N_PUN_N, form=pois, haricot, flageolet"
"BSV_Legumes_102019_cle8be56a"	"DELASSUS-PLRN; Chou-"	"fleur, choux"	"choux"	": F. SIMEON -PLRN;"	"36712-36724"	"type=N_PUN_N, form=fleur, choux"
"BSV_Legumes_102019_cle8be56a"	"; Carotte, Epinard,"	"Pois de conserve, Haricots"	"Pois"	"verts et Scorsonère"	"36819-36845"	"type=N_PUN_N, form=Pois de conserve, Haricots"
"BSV_Legumes_132019_cle871f9a"	"ujours signalés sur"	"les parcelles de haricots et flageolets"	"haricots, flageolets"	". Les dégâts sont pl"	"2628-2667"	"type=N_KON_N, form=les parcelles de haricots et flageolets"
"BSV_Legumes_132019_cle871f9a"	"e pas de dégâts sur"	"poireau et les auxiliaires"	"poireau"	"sont présents. Roui"	"5630-5656"	"type=N_KON_N, form=poireau et les auxiliaires"
"BSV_Legumes_132019_cle871f9a"	"lantes environ. Sur"	"oignon, le risque"	"oignon"	"est faible, il ne s"	"8313-8330"	"type=N_PUN_N, form=oignon, le risque"
"BSV_Legumes_132019_cle871f9a"	"ignons bulbilles et"	"échalotes de plantation, oignon de semis"	"échalotes, oignon"	"dit "" précoces "",-"	"9121-9161"	"type=N_PUN_N, form=échalotes de plantation, oignon de semis"
"BSV_Legumes_132019_cle871f9a"	"terrain sur oignons"	"bulbilles et oignons de semis"	"oignons"	". Le modèle ne reflè"	"9770-9799"	"type=N_KON_N, form=bulbilles et oignons de semis"
"BSV_Legumes_132019_cle871f9a"	"signalés sur 4% des"	"endives, c'est"	"endives"	"en nette diminution"	"13142-13156"	"type=N_PUN_N, form=endives, c'est"
"BSV_Legumes_132019_cle871f9a"	"40 plantes hôtes) :"	"haricot, concombre, épinard, tomate, radis, navet, oignon, poireau, pomme de terre"	"haricot, concombre, épinard, tomate, radis, navet, oignon, poireau, pomme de terre"	"Les femelles appréc"	"21300-21382"	"type=N_PUN_N, form=haricot, concombre, épinard, tomate, radis, navet, oignon, poireau, pomme de terre"
"BSV_Legumes_132019_cle871f9a"	"DELASSUS-PLRN; Chou-"	"fleur, choux"	"choux"	": F. SIMEON -PLRN;"	"23903-23915"	"type=N_PUN_N, form=fleur, choux"
"BSV_Legumes_132019_cle871f9a"	"; Carotte, Epinard,"	"Pois de conserve, Haricots"	"Pois"	"verts et Scorsonère"	"24010-24036"	"type=N_PUN_N, form=Pois de conserve, Haricots"
"BSV_Legumes_212019_cle835ca3"	"d'œufs, trous dans"	"les gousses et les feuilles"	"gousses"	"). Papillon Heliothi"	"1080-1107"	"type=N_KON_N, form=les gousses et les feuilles"
"BSV_Legumes_212019_cle835ca3"	"et irrégulières sur"	"les tiges et les gousses"	"gousses"	"qui évoluent en myc"	"1908-1932"	"type=N_KON_N, form=les tiges et les gousses"
"BSV_Legumes_212019_cle835ca3"	"s pour le suivi des"	"mouches de la carotte et niveaux de captures"	"carotte"	"(mouche/piège/semai"	"3833-3877"	"type=N_KON_N, form=mouches de la carotte et niveaux de captures"
"BSV_Legumes_212019_cle835ca3"	"DELASSUS-PLRN; Chou-"	"fleur, choux"	"choux"	": F. SIMEON -PLRN;"	"20156-20168"	"type=N_PUN_N, form=fleur, choux"
"BSV_Legumes_212019_cle835ca3"	"; Carotte, Epinard,"	"Pois de conserve, Haricots"	"Pois"	"verts et Scorsonère"	"20263-20289"	"type=N_PUN_N, form=Pois de conserve, Haricots"
"BSV_Legumes_262019_cle8bd5e8"	"DELASSUS-PLRN; Chou-"	"fleur, choux"	"choux"	": F. SIMEON -PLRN;"	"14507-14519"	"type=N_PUN_N, form=fleur, choux"
"BSV_Legumes_262019_cle8bd5e8"	"; Carotte, Epinard,"	"Pois de conserve, Haricots"	"Pois"	"verts et Scorsonère"	"14614-14640"	"type=N_PUN_N, form=Pois de conserve, Haricots"
"BSV_Legumes_322019_2__cle44e13b"	"nt été signalés sur"	"épinard de printemps et d'automne"	"épinard"	". Bulletin de Santé"	"9171-9204"	"type=N_KON_N, form=épinard de printemps et d'automne"
"BSV_Legumes_322019_2__cle44e13b"	"la répartition des"	"parcelles de haricot et flageolet"	"haricot, flageolet"	": Ravageu"	"9540-9573"	"type=N_KON_N, form=parcelles de haricot et flageolet"
"BSV_Legumes_322019_2__cle44e13b"	"DELASSUS-PLRN; Chou-"	"fleur, choux"	"choux"	": F. SIMEON -PLRN;"	"13582-13594"	"type=N_PUN_N, form=fleur, choux"
"BSV_Legumes_322019_2__cle44e13b"	"; Carotte, Epinard,"	"Pois de conserve, Haricots"	"Pois"	"verts et Scorsonère"	"13685-13711"	"type=N_PUN_N, form=Pois de conserve, Haricots"
"BSV_Legumes_industries_2019_No20_cle06a888"	"nt sensible (jeunes"	"pommes, pollution des lots"	"pommes"	"possible) que par l"	"6195-6221"	"type=N_PUN_N, form=pommes, pollution des lots"
"BSV_Legumes_industries_2019_No20_cle06a888"	"ui se développe sur"	"choux et navets"	"choux, navets"	". L'adulte est orang"	"6390-6405"	"type=N_KON_N, form=choux et navets"
"BSV_Legumes_n_08_du_17_07_19_cle838d16"	"erons parasités sur"	"tomate, l'un"	"tomate"	"par Praon sp. (indi"	"7159-7171"	"type=N_PUN_N, form=tomate, l'un"
"BSV_MARAICHAGE_2019_02_cle0c5c84"	"égumes industriels,"	"arboriculture, maraîchage, pépinière"	"arboriculture, maraîchage, pépinière"	"horticulture, zones"	"4719-4755"	"type=N_PUN_N, form=arboriculture, maraîchage, pépinière"
"BSV_MARAICHAGE_2019_02_cle0c5c84"	"raîchage, pépinière"	"horticulture, zones"	"horticulture"	"non agricoles. Page"	"4756-4775"	"type=N_PUN_N, form=horticulture, zones"
"BSV_MARAICHAGE_2019_15_cle04166a"	"égumes industriels,"	"arboriculture, maraîchage, pépinière"	"arboriculture, maraîchage, pépinière"	"horticulture. Page"	"12173-12209"	"type=N_PUN_N, form=arboriculture, maraîchage, pépinière"
"BSV_MARAICHAGE_2019_23_cle0745ab"	"égumes industriels,"	"arboriculture, maraîchage, pépinière"	"arboriculture, maraîchage, pépinière"	"horticulture. Page"	"6515-6551"	"type=N_PUN_N, form=arboriculture, maraîchage, pépinière"
"BSV_MARAICHAGE_Nord_NA_02_20190507_cle85ab9d"	"e variété sensible."	"Carotte et céleri"	"Carotte, céleri"	"-rave Mouche de la c"	"2030-2047"	"type=N_KON_N, form=Carotte et céleri"
"BSV_MARAICHAGE_Nord_NA_02_20190507_cle85ab9d"	"ion sont notées sur"	"ciboulettes, aillets"	"ciboulettes"	". Autres légumes Au"	"2342-2362"	"type=N_PUN_N, form=ciboulettes, aillets"
"BSV_MARAICHAGE_Nord_NA_02_20190507_cle85ab9d"	"ts . Autres légumes"	"Aubergines, concombres, courgettes"	"Aubergines, concombres, courgettes"	"(informations tour"	"2380-2414"	"type=N_PUN_N, form=Aubergines, concombres, courgettes"
"BSV_MARAICHAGE_Nord_NA_02_20190507_cle85ab9d"	"bords (ex : morelle"	"noire, datura, repousses de tomate"	"tomate"	") ; protéger les ouv"	"6232-6266"	"type=N_PUN_N, form=noire, datura, repousses de tomate"
"BSV_MARAICHAGE_Nord_NA_02_20190507_cle85ab9d"	"sont signalées sur"	"poivrons, aubergines et concombres"	"poivrons, aubergines, concombres"	"). On peut remarquer"	"8259-8293"	"type=N_PUN_N_KON_N, form=poivrons, aubergines et concombres"
"BSV_MARAICHAGE_Nord_NA_02_20190507_cle85ab9d"	"e variété sensible."	"Carotte et céleri"	"Carotte, céleri"	"-rave Mouche de la c"	"9365-9382"	"type=N_KON_N, form=Carotte et céleri"
"BSV_MARAICHAGE_Nord_NA_02_20190507_cle85ab9d"	"gie particulière de"	"la mouche de la carotte, la réalisation de piégeages"	"carotte"	"à la parcelle perme"	"9464-9516"	"type=N_PUN_N, form=la mouche de la carotte, la réalisation de piégeages"
"BSV_MARAICHAGE_Nord_NA_02_20190507_cle85ab9d"	"ièrement notées sur"	"ciboulette, aillets"	"ciboulette"	"et plus généralemen"	"10740-10759"	"type=N_PUN_N, form=ciboulette, aillets"
"BSV_MARAICHAGE_Nord_NA_02_20190507_cle85ab9d"	"légumes Aubergine,"	"concombre, courgettes et d'autres"	"concombre, courgettes"	"légumes sous abris"	"11139-11172"	"type=N_PUN_N_KON_N, form=concombre, courgettes et d'autres"
"BSV_MARAICHAGE_Nord_NA_02_20190507_cle85ab9d"	"ezara viridula) sur"	"aubergine et concombre"	"aubergine, concombre"	". Le descriptif des"	"12000-12022"	"type=N_KON_N, form=aubergine et concombre"
"BSV_MARAICHAGE_Nord_NA_02_20190507_cle85ab9d"	"sont en place dans"	"les vergers et les cultures"	"vergers"	"légumières. Les tra"	"14681-14708"	"type=N_KON_N, form=les vergers et les cultures"
"BSV_MARAICHAGE_Nord_NA_02_20190507_cle85ab9d"	"ment de larves dans"	"les fruits et légumes"	"légumes"	") de la mouche orien"	"15563-15584"	"type=N_KON_N, form=les fruits et légumes"
"BSV_MARAICHAGE_Nord_NA_02_20190507_cle85ab9d"	"ins variables selon"	"les fruits et légumes"	"légumes"	"attaqués. Les larve"	"16027-16048"	"type=N_KON_N, form=les fruits et légumes"
"BSV_MARAICHAGE_Nord_NA_02_20190507_cle85ab9d"	"fruitières (pêcher,"	"poirier, mangue, banane"	"poirier, mangue, banane"	",...), agrumes (citr"	"16249-16272"	"type=N_PUN_N, form=poirier, mangue, banane"
"BSV_MARAICHAGE_Nord_NA_02_20190507_cle85ab9d"	"...) et légumières ("	"tomate, poivron"	"tomate, poivron"	", aubergine, melon,"	"16323-16338"	"type=N_PUN_N, form=tomate, poivron"
"BSV_MARAICHAGE_Nord_NA_02_20190507_cle85ab9d"	"poivron, aubergine,"	"melon, courge"	"melon, courge"	",...). Bactrocera do"	"16351-16364"	"type=N_PUN_N, form=melon, courge"
"BSV_MARAICHAGE_Nord_NA_02_20190507_cle85ab9d"	"a communautaire des"	"fruits et légumes"	"légumes"	". Toute suspicion do"	"16717-16734"	"type=N_KON_N, form=fruits et légumes"
"BSV_MARAICHAGE_Nord_NA_16__20190822_cle04e172"	"n site en Charente."	"Carotte et céleri"	"Carotte, céleri"	"-rave Mouche de la c"	"1593-1610"	"type=N_KON_N, form=Carotte et céleri"
"BSV_MARAICHAGE_Nord_NA_16__20190822_cle04e172"	"22 août 2019 4/11"	"Carotte et céleri"	"Carotte, céleri"	"-rave Mouche de la c"	"11705-11722"	"type=N_KON_N, form=Carotte et céleri"
"BSV_MARAICHAGE_Nord_NA_16__20190822_cle04e172"	"gie particulière de"	"la mouche de la carotte, la réalisation de piégeages"	"carotte"	"à la parcelle perme"	"11804-11856"	"type=N_PUN_N, form=la mouche de la carotte, la réalisation de piégeages"
"BSV_MARAICHAGE_Nord_NA_16__20190822_cle04e172"	"tion du risque : en"	"cultures de carottes, le vol"	"carottes"	"semble avoir repris"	"12128-12156"	"type=N_PUN_N, form=cultures de carottes, le vol"
"BSV_MARAICHAGE_Nord_NA_16__20190822_cle04e172"	"plantations du 1er"	"avril, les cycles du champignon"	"champignon"	"au 21 août, sont :"	"15153-15184"	"type=N_PUN_N, form=avril, les cycles du champignon"
"BSV_MARAICHAGE_Nord_NA_16__20190822_cle04e172"	"soleil sur fruits ("	"poivron, tomate"	"poivron, tomate"	") ; des nécroses api"	"20096-20111"	"type=N_PUN_N, form=poivron, tomate"
"BSV_MARAICHAGE_Nord_NA_16__20190822_cle04e172"	"u "" cul noir "") sur"	"poivron et tomate"	"poivron, tomate"	"; des phénomènes de"	"20159-20176"	"type=N_KON_N, form=poivron et tomate"
"BSV_MARAICHAGE_Nord_NA_16__20190822_cle04e172"	"ccidentellement sur"	"les cultures et multiplications de betteraves"	"betteraves"	", Lixus brevistoris,"	"22329-22374"	"type=N_KON_N, form=les cultures et multiplications de betteraves"
"BSV_MARAICHAGE_Nord_NA_16__20190822_cle04e172"	"sieurs espèces) Sur"	"aubergine et concombre"	"aubergine, concombre"	", sur l'ensemble des"	"22716-22738"	"type=N_KON_N, form=aubergine et concombre"
"BSV_MARAICHAGE_Nord_NA_16__20190822_cle04e172"	"âts de punaises sur"	"tomate et photo de Nezara"	"tomate"	"viridula (Crédit Ph"	"23037-23062"	"type=N_KON_N, form=tomate et photo de Nezara"
"BSV_MARAICHAGE_Nord_NA_16__20190822_cle04e172"	"ment de larves dans"	"les fruits et légumes"	"légumes"	") de la mouche orien"	"26293-26314"	"type=N_KON_N, form=les fruits et légumes"
